event_id,meter_id,consumer_no,substation,feeder_id,zone,phase,voltage_v,current_a,frequency_hz,power_kw,power_factor,temperature_c,event_type,is_anomaly,severity,event_ts,batch_id
a4022f63-7810-4f72-9295-fc636fefe156,TPC5627367,CON900729,SS_003,FDR_02,Nashik,B,227.09,50.45,50.086,10.185,0.889,45.1,NORMAL,False,NORMAL,5/20/2026 4:34,2
27c74e71-a32d-452d-b627-c386fa9b4913,TPC9747493,CON915490,SS_011,FDR_05,Nashik,R,233.85,69.23,50.086,15.526,0.959,41.2,NORMAL,False,NORMAL,5/20/2026 4:34,2
0a2bb028-710d-44a0-b0cf-8ac35bf85909,TPC4222492,CON510171,SS_013,FDR_03,Lonavala,B,238.37,19.52,50.071,4.523,0.972,32.7,NORMAL,False,NORMAL,5/20/2026 4:34,2
6c4cb1b0-16f4-4af3-9816-ee8b5fad5d99,TPC1245333,CON190163,SS_003,FDR_04,Pune,B,235.13,45.06,50.034,10.002,0.944,49.8,NORMAL,False,NORMAL,5/20/2026 4:34,2
f8886171-6712-4108-984d-67475063d48d,TPC3197088,CON534924,SS_020,FDR_10,Lonavala,Y,228.63,2.88,49.965,0.61,0.927,49.9,NORMAL,False,NORMAL,5/20/2026 4:34,2
b6c47b39-cadb-4c54-a95a-e1940d112a48,TPC7598489,CON250765,SS_018,FDR_05,Mumbai_South,Y,227.81,37.04,50.053,7.485,0.887,58.3,NORMAL,False,NORMAL,5/20/2026 4:34,2
bcf475d0-f8a9-45ad-9c59-04d07e334545,TPC4233297,CON982678,SS_005,FDR_01,Pune,B,232.55,33.0,50.132,7.237,0.943,57.7,NORMAL,False,NORMAL,5/20/2026 4:34,2
7d359aab-126f-4dfa-91e8-f66da7b36386,TPC3916821,CON668161,SS_001,FDR_04,Lonavala,Y,239.35,79.03,49.999,16.986,0.898,34.5,NORMAL,False,NORMAL,5/20/2026 4:34,2
c2b14d0a-fbb2-4423-8b08-963bec850a2d,TPC1419044,CON121149,SS_011,FDR_05,Mumbai_North,B,231.59,18.93,50.013,4.283,0.977,58.3,NORMAL,False,NORMAL,5/20/2026 4:34,2
3cc4b5a2-5258-4fe1-a42f-953e45c55bbb,TPC7520613,CON534998,SS_018,FDR_01,Pune,B,233.05,68.75,49.966,14.308,0.893,33.8,NORMAL,False,NORMAL,5/20/2026 4:34,2
52db394b-e5c2-4a31-936e-9e3de8a81be2,TPC2411027,CON671338,SS_002,FDR_07,Mumbai_North,R,227.6,36.54,49.869,7.701,0.926,52.3,NORMAL,False,NORMAL,5/20/2026 4:34,2
84ecc933-8e3b-47c6-af8a-7aa618156a2d,TPC2114084,CON371999,SS_010,FDR_02,Mumbai_North,Y,273.85,11.85,50.084,3.005,0.926,65.3,VOLTAGE_SPIKE,True,HIGH,5/20/2026 4:34,2
d0aff32d-67d5-4a06-a5ff-631c07a1a1a5,TPC4638190,CON220140,SS_012,FDR_03,Lonavala,Y,239.43,32.0,50.012,7.202,0.94,54.1,NORMAL,False,NORMAL,5/20/2026 4:34,2
94e8e77a-442b-4a96-ac09-233fa6b2fde6,TPC3996256,CON623740,SS_009,FDR_02,Mumbai_North,R,274.15,52.95,49.938,13.907,0.958,55.4,VOLTAGE_SPIKE,True,HIGH,5/20/2026 4:34,2
2a734415-45b2-451a-8aa6-fac2c6a80030,TPC9093738,CON578266,SS_002,FDR_03,Nashik,Y,227.54,57.67,49.965,12.296,0.937,53.3,NORMAL,False,NORMAL,5/20/2026 4:34,2
97eb28db-cb59-48bc-8198-5d12f9df03b1,TPC2322402,CON832447,SS_010,FDR_01,Pune,R,221.16,46.61,50.075,9.329,0.905,42.3,NORMAL,False,NORMAL,5/20/2026 4:34,2
b63dda41-1ebe-428e-bdd4-525a1ad3132a,TPC1299119,CON597529,SS_001,FDR_05,Nashik,Y,225.2,72.64,50.07,14.87,0.909,55.2,NORMAL,False,NORMAL,5/20/2026 4:34,2
