table_name,column_name,data_type,nullable
system.lakeflow.jobs,account_id,string,true
system.lakeflow.jobs,workspace_id,string,true
system.lakeflow.jobs,job_id,string,true
system.lakeflow.jobs,name,string,true
system.lakeflow.jobs,creator_id,string,true
system.lakeflow.jobs,tags,"map<string,string>",true
system.lakeflow.jobs,run_as,string,true
system.lakeflow.jobs,change_time,timestamp,true
system.lakeflow.jobs,delete_time,timestamp,true
system.lakeflow.jobs,description,string,true
system.lakeflow.jobs,trigger,"struct<file_arrival:struct<url:string,min_time_between_triggers_seconds:int,wait_after_last_change_seconds:int>,periodic:struct<interval:int,units:string>,continuous:struct<enabled:boolean>,table_update:struct<table_names:array<string>,min_time_between_triggers_seconds:bigint,wait_after_last_change_seconds:bigint,condition:string>,schedule:struct<quartz_cron_expression:string,timezone_id:string>>",true
system.lakeflow.jobs,trigger.file_arrival,"struct<url:string,min_time_between_triggers_seconds:int,wait_after_last_change_seconds:int>",true
system.lakeflow.jobs,trigger.file_arrival.url,string,true
system.lakeflow.jobs,trigger.file_arrival.min_time_between_triggers_seconds,int,true
system.lakeflow.jobs,trigger.file_arrival.wait_after_last_change_seconds,int,true
system.lakeflow.jobs,trigger.periodic,"struct<interval:int,units:string>",true
system.lakeflow.jobs,trigger.periodic.interval,int,true
system.lakeflow.jobs,trigger.periodic.units,string,true
system.lakeflow.jobs,trigger.continuous,struct<enabled:boolean>,true
system.lakeflow.jobs,trigger.continuous.enabled,boolean,true
system.lakeflow.jobs,trigger.table_update,"struct<table_names:array<string>,min_time_between_triggers_seconds:bigint,wait_after_last_change_seconds:bigint,condition:string>",true
system.lakeflow.jobs,trigger.table_update.table_names,array<string>,true
system.lakeflow.jobs,trigger.table_update.min_time_between_triggers_seconds,bigint,true
system.lakeflow.jobs,trigger.table_update.wait_after_last_change_seconds,bigint,true
system.lakeflow.jobs,trigger.table_update.condition,string,true
system.lakeflow.jobs,trigger.schedule,"struct<quartz_cron_expression:string,timezone_id:string>",true
system.lakeflow.jobs,trigger.schedule.quartz_cron_expression,string,true
system.lakeflow.jobs,trigger.schedule.timezone_id,string,true
system.lakeflow.jobs,trigger_type,string,true
system.lakeflow.jobs,run_as_user_name,string,true
system.lakeflow.jobs,creator_user_name,string,true
system.lakeflow.jobs,paused,boolean,true
system.lakeflow.jobs,timeout_seconds,bigint,true
system.lakeflow.jobs,health_rules,"array<struct<metric:string,operator:string,value:bigint>>",true
system.lakeflow.jobs,health_rules[].metric,string,true
system.lakeflow.jobs,health_rules[].operator,string,true
system.lakeflow.jobs,health_rules[].value,bigint,true
system.lakeflow.jobs,deployment,"struct<kind:string,metadata_file_path:string>",true
system.lakeflow.jobs,deployment.kind,string,true
system.lakeflow.jobs,deployment.metadata_file_path,string,true
system.lakeflow.jobs,create_time,timestamp,true
system.lakeflow.job_run_timeline,account_id,string,true
system.lakeflow.job_run_timeline,workspace_id,string,true
system.lakeflow.job_run_timeline,job_id,string,true
system.lakeflow.job_run_timeline,run_id,string,true
system.lakeflow.job_run_timeline,period_start_time,timestamp,true
system.lakeflow.job_run_timeline,period_end_time,timestamp,true
system.lakeflow.job_run_timeline,trigger_type,string,true
system.lakeflow.job_run_timeline,result_state,string,true
system.lakeflow.job_run_timeline,run_type,string,true
system.lakeflow.job_run_timeline,run_name,string,true
system.lakeflow.job_run_timeline,compute_ids,array<string>,true
system.lakeflow.job_run_timeline,termination_code,string,true
system.lakeflow.job_run_timeline,job_parameters,"map<string,map<string,string>>",true
system.lakeflow.job_run_timeline,source_task_run_id,string,true
system.lakeflow.job_run_timeline,root_task_run_id,string,true
system.lakeflow.job_run_timeline,compute,"array<struct<type:string,cluster_id:string,warehouse_id:string>>",true
system.lakeflow.job_run_timeline,compute[].type,string,true
system.lakeflow.job_run_timeline,compute[].cluster_id,string,true
system.lakeflow.job_run_timeline,compute[].warehouse_id,string,true
system.lakeflow.job_run_timeline,termination_type,string,true
system.lakeflow.job_run_timeline,setup_duration_seconds,bigint,true
system.lakeflow.job_run_timeline,queue_duration_seconds,bigint,true
system.lakeflow.job_run_timeline,run_duration_seconds,bigint,true
system.lakeflow.job_run_timeline,cleanup_duration_seconds,bigint,true
system.lakeflow.job_run_timeline,execution_duration_seconds,bigint,true
system.lakeflow.job_task_run_timeline,account_id,string,true
system.lakeflow.job_task_run_timeline,workspace_id,string,true
system.lakeflow.job_task_run_timeline,job_id,string,true
system.lakeflow.job_task_run_timeline,run_id,string,true
system.lakeflow.job_task_run_timeline,period_start_time,timestamp,true
system.lakeflow.job_task_run_timeline,period_end_time,timestamp,true
system.lakeflow.job_task_run_timeline,task_key,string,true
system.lakeflow.job_task_run_timeline,compute_ids,array<string>,true
system.lakeflow.job_task_run_timeline,result_state,string,true
system.lakeflow.job_task_run_timeline,job_run_id,string,true
system.lakeflow.job_task_run_timeline,parent_run_id,string,true
system.lakeflow.job_task_run_timeline,termination_code,string,true
system.lakeflow.job_task_run_timeline,compute,"array<struct<type:string,cluster_id:string,warehouse_id:string>>",true
system.lakeflow.job_task_run_timeline,compute[].type,string,true
system.lakeflow.job_task_run_timeline,compute[].cluster_id,string,true
system.lakeflow.job_task_run_timeline,compute[].warehouse_id,string,true
system.lakeflow.job_task_run_timeline,termination_type,string,true
system.lakeflow.job_task_run_timeline,task_parameters,"map<string,map<string,string>>",true
system.lakeflow.job_task_run_timeline,setup_duration_seconds,bigint,true
system.lakeflow.job_task_run_timeline,cleanup_duration_seconds,bigint,true
system.lakeflow.job_task_run_timeline,execution_duration_seconds,bigint,true
system.lakeflow.pipelines,workspace_id,string,true
system.lakeflow.pipelines,pipeline_id,string,true
system.lakeflow.pipelines,pipeline_type,string,true
system.lakeflow.pipelines,name,string,true
system.lakeflow.pipelines,created_by,string,true
system.lakeflow.pipelines,run_as,string,true
system.lakeflow.pipelines,tags,"map<string,string>",true
system.lakeflow.pipelines,settings,"struct<photon:boolean,development:boolean,continuous:boolean,serverless:boolean,edition:string,channel:string>",true
system.lakeflow.pipelines,settings.photon,boolean,true
system.lakeflow.pipelines,settings.development,boolean,true
system.lakeflow.pipelines,settings.continuous,boolean,true
system.lakeflow.pipelines,settings.serverless,boolean,true
system.lakeflow.pipelines,settings.edition,string,true
system.lakeflow.pipelines,settings.channel,string,true
system.lakeflow.pipelines,configuration,"map<string,string>",true
system.lakeflow.pipelines,change_time,timestamp,true
system.lakeflow.pipelines,delete_time,timestamp,true
system.lakeflow.pipelines,account_id,string,true
system.lakeflow.pipelines,create_time,timestamp,true
system.billing.usage,account_id,string,true
system.billing.usage,workspace_id,string,true
system.billing.usage,record_id,string,true
system.billing.usage,sku_name,string,true
system.billing.usage,cloud,string,true
system.billing.usage,usage_start_time,timestamp,true
system.billing.usage,usage_end_time,timestamp,true
system.billing.usage,usage_date,date,true
system.billing.usage,custom_tags,"map<string,string>",true
system.billing.usage,usage_unit,string,true
system.billing.usage,usage_quantity,"decimal(38,18)",true
system.billing.usage,usage_metadata,"struct<cluster_id:string,job_id:string,warehouse_id:string,instance_pool_id:string,node_type:string,job_run_id:string,notebook_id:string,dlt_pipeline_id:string,endpoint_name:string,endpoint_id:string,dlt_update_id:string,dlt_maintenance_id:string,run_name:string,job_name:string,notebook_path:string,central_clean_room_id:string,source_region:string,destination_region:string,app_id:string,app_name:string,metastore_id:string,private_endpoint_name:string,storage_api_type:string,budget_policy_id:string,ai_runtime_pool_id:string,ai_runtime_workload_id:string,uc_table_catalog:string,uc_table_schema:string,uc_table_name:string,database_instance_id:string,sharing_materialization_id:string,schema_id:string,usage_policy_id:string,base_environment_id:string,agent_bricks_id:string,index_id:string,catalog_id:string,project_id:string,branch_id:string,table_id:string,supervisor_agent_id:string,networking_client:string,associated_product:string,recipient_id:string,interactive_source:string,snapshot_id:string,ai_gateway:struct<endpoint_name:string,endpoint_id:string,destination_id:string,destination_model:string>>",true
system.billing.usage,usage_metadata.cluster_id,string,true
system.billing.usage,usage_metadata.job_id,string,true
system.billing.usage,usage_metadata.warehouse_id,string,true
system.billing.usage,usage_metadata.instance_pool_id,string,true
system.billing.usage,usage_metadata.node_type,string,true
system.billing.usage,usage_metadata.job_run_id,string,true
system.billing.usage,usage_metadata.notebook_id,string,true
system.billing.usage,usage_metadata.dlt_pipeline_id,string,true
system.billing.usage,usage_metadata.endpoint_name,string,true
system.billing.usage,usage_metadata.endpoint_id,string,true
system.billing.usage,usage_metadata.dlt_update_id,string,true
system.billing.usage,usage_metadata.dlt_maintenance_id,string,true
system.billing.usage,usage_metadata.run_name,string,true
system.billing.usage,usage_metadata.job_name,string,true
system.billing.usage,usage_metadata.notebook_path,string,true
system.billing.usage,usage_metadata.central_clean_room_id,string,true
system.billing.usage,usage_metadata.source_region,string,true
system.billing.usage,usage_metadata.destination_region,string,true
system.billing.usage,usage_metadata.app_id,string,true
system.billing.usage,usage_metadata.app_name,string,true
system.billing.usage,usage_metadata.metastore_id,string,true
system.billing.usage,usage_metadata.private_endpoint_name,string,true
system.billing.usage,usage_metadata.storage_api_type,string,true
system.billing.usage,usage_metadata.budget_policy_id,string,true
system.billing.usage,usage_metadata.ai_runtime_pool_id,string,true
system.billing.usage,usage_metadata.ai_runtime_workload_id,string,true
system.billing.usage,usage_metadata.uc_table_catalog,string,true
system.billing.usage,usage_metadata.uc_table_schema,string,true
system.billing.usage,usage_metadata.uc_table_name,string,true
system.billing.usage,usage_metadata.database_instance_id,string,true
system.billing.usage,usage_metadata.sharing_materialization_id,string,true
system.billing.usage,usage_metadata.schema_id,string,true
system.billing.usage,usage_metadata.usage_policy_id,string,true
system.billing.usage,usage_metadata.base_environment_id,string,true
system.billing.usage,usage_metadata.agent_bricks_id,string,true
system.billing.usage,usage_metadata.index_id,string,true
system.billing.usage,usage_metadata.catalog_id,string,true
system.billing.usage,usage_metadata.project_id,string,true
system.billing.usage,usage_metadata.branch_id,string,true
system.billing.usage,usage_metadata.table_id,string,true
system.billing.usage,usage_metadata.supervisor_agent_id,string,true
system.billing.usage,usage_metadata.networking_client,string,true
system.billing.usage,usage_metadata.associated_product,string,true
system.billing.usage,usage_metadata.recipient_id,string,true
system.billing.usage,usage_metadata.interactive_source,string,true
system.billing.usage,usage_metadata.snapshot_id,string,true
system.billing.usage,usage_metadata.ai_gateway,"struct<endpoint_name:string,endpoint_id:string,destination_id:string,destination_model:string>",true
system.billing.usage,usage_metadata.ai_gateway.endpoint_name,string,true
system.billing.usage,usage_metadata.ai_gateway.endpoint_id,string,true
system.billing.usage,usage_metadata.ai_gateway.destination_id,string,true
system.billing.usage,usage_metadata.ai_gateway.destination_model,string,true
system.billing.usage,identity_metadata,"struct<run_as:string,created_by:string,owned_by:string,run_by:string>",true
system.billing.usage,identity_metadata.run_as,string,true
system.billing.usage,identity_metadata.created_by,string,true
system.billing.usage,identity_metadata.owned_by,string,true
system.billing.usage,identity_metadata.run_by,string,true
system.billing.usage,record_type,string,true
system.billing.usage,ingestion_date,date,true
system.billing.usage,billing_origin_product,string,true
system.billing.usage,product_features,"struct<jobs_tier:string,sql_tier:string,dlt_tier:string,is_serverless:boolean,is_photon:boolean,serving_type:string,networking:struct<connectivity_type:string>,ai_runtime:struct<compute_type:string>,model_serving:struct<offering_type:string>,ai_gateway:struct<feature_type:string>,serverless_gpu:struct<workload_type:string>,agent_bricks:struct<problem_type:string,workload_type:string>,performance_target:string,ai_functions:struct<ai_function:string>,apps:struct<compute_size:string>,lakeflow_connect:struct<task_type:string,zerobus_request_type:string>,lakebase:struct<storage_type:string,compute_type:string>,ai_bi_genie:struct<capability_type:string,offering_type:string>>",true
system.billing.usage,product_features.jobs_tier,string,true
system.billing.usage,product_features.sql_tier,string,true
system.billing.usage,product_features.dlt_tier,string,true
system.billing.usage,product_features.is_serverless,boolean,true
system.billing.usage,product_features.is_photon,boolean,true
system.billing.usage,product_features.serving_type,string,true
system.billing.usage,product_features.networking,struct<connectivity_type:string>,true
system.billing.usage,product_features.networking.connectivity_type,string,true
system.billing.usage,product_features.ai_runtime,struct<compute_type:string>,true
system.billing.usage,product_features.ai_runtime.compute_type,string,true
system.billing.usage,product_features.model_serving,struct<offering_type:string>,true
system.billing.usage,product_features.model_serving.offering_type,string,true
system.billing.usage,product_features.ai_gateway,struct<feature_type:string>,true
system.billing.usage,product_features.ai_gateway.feature_type,string,true
system.billing.usage,product_features.serverless_gpu,struct<workload_type:string>,true
system.billing.usage,product_features.serverless_gpu.workload_type,string,true
system.billing.usage,product_features.agent_bricks,"struct<problem_type:string,workload_type:string>",true
system.billing.usage,product_features.agent_bricks.problem_type,string,true
system.billing.usage,product_features.agent_bricks.workload_type,string,true
system.billing.usage,product_features.performance_target,string,true
